식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
비빔밥_약초,100g,128,72,2.98,3.98,1,20.05,0.73,2.7,61,0,48,131,243,55,0,664,0.018,0.033,0.56,0.3,,0,0.6,0.03,,,,,,,,,,,,,,,,,,,,,,,
삼각김밥_고추장불고기,100g,165,59.5,3.66,1.58,1.14,34.11,0.21,1.3,29,0,47,69,343,32,0,382,0.04,0.086,0.39,1.53,,3.51,0.45,0.01,,,,,,,,,,,,,,,,,,,,,,,
삼각김밥_숯불갈비,100g,161,60.7,4,1.67,1.11,32.55,0.16,1.3,11,0,55,69,358,27,0,318,0.073,0.094,0.323,0,,4.04,0.53,0.02,,,,,,,,,,,,,,,,,,,,,,,
삼각김밥_참치마요네즈,100g,172,60,3.94,3.2,0.87,31.95,0.02,1.2,10,0,50,58,282,21,0,255,0.003,0.062,0.982,0,,4.41,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,
새우튀김롤,100g,202,55.5,4.82,6.06,1.56,32.09,3.71,2.5,54,0,68,77,464,21,2,232,0.047,0.046,0.174,2.58,,18.62,1.14,0.04,,,,,,,,,,,,,,,,,,,,,,,
쌀밥,100g,166,58.9,3.36,0.32,0.11,37.33,0.02,0.1,6,0,28,26,0,,0,0,0,0.005,0.536,0.16,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,
알밥_간편조리세트_갑오징어알뚝밥,100g,124,72,9.82,4.88,3.06,10.21,2.63,1,20,0.23,96,108,1032,,2,85,0.139,0.041,0.097,1.93,0,143.7,0.86,0.04,,,,,,,,,,,,,,,,,,,,,,,
연어롤,100g,170,62.5,6.19,5.13,1.44,24.77,2.82,3,45,0,76,110,404,19,2,204,0.063,0.046,0.865,20.01,,20.66,0.94,0.03,,,,,,,,,,,,,,,,,,,,,,,
연잎밥,100g,207,48.1,4,0.3,0.6,47,,,14,5.9,71,98,178,0,0,4,0.03,0.15,1.1,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
오곡밥,100g,156,61.3,4.78,0.52,0.47,32.93,0.07,2.5,11,0,74,113,46,0,0,4,0.047,0.015,0.166,0,,0,0.17,0,,,,,,,,,,,,,,,,,,,,,,,
자장밥,100g,148,67.6,3.05,4.46,0.93,24.01,1.07,2.4,11,0,38,75,312,1,0,17,0.128,0.055,0.57,0,,5.29,1.71,0.03,,,,,,,,,,,,,,,,,,,,,,,
잡탕밥,100g,104,76.5,5.88,2.68,0.94,13.99,0.06,1.8,24,0.01,65,69,281,11,0,132,0.019,0.093,0.331,0,,43.98,0.54,0.02,,,,,,,,,,,,,,,,,,,,,,,
주먹밥_멸치,100g,208,52.1,6,4.4,1.27,36.2,0.6,2.3,73,0,115,92,331,16,7,119,0,0.027,0.3,0,,28.3,0.73,0,,,,,,,,,,,,,,,,,,,,,,,
짜장밥_오징어,100g,136,68.2,6.3,2.8,1.2,21.5,,1.5,19,4.8,77,135,325,33,0,394,0.05,0.31,1.1,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
초밥_광어,100g,151,62.7,9.02,1.31,1.11,25.85,2.57,0.8,8,0,115,183,270,0,0,0,0.007,0.128,2.982,0,,15.58,0.35,0.01,,,,,,,,,,,,,,,,,,,,,,,
초밥_농어,100g,159,59.6,6.97,0.53,1.4,31.5,5.2,1,7,0,73,119,414,11,11,0,0.032,0.033,0.548,0,,10.6,0.26,0.01,,,,,,,,,,,,,,,,,,,,,,,
초밥_모듬,100g,154,62.9,8.47,2.02,1.16,25.48,2.88,0.8,15,0,94,147,323,6,6,4,0.013,0.15,2.435,0,,23.62,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,
초밥_문어,100g,157,59.7,5.85,0.3,1.49,32.71,5.35,1.1,9,0,52,58,480,1,0,2,0.002,0.021,0.271,3.12,,28.03,0.14,0,,,,,,,,,,,,,,,,,,,,,,,
초밥_새우,100g,130,68.4,7.78,1.94,1.47,20.41,3.95,0,24,0.12,69,76,451,,0,1,0.014,0.021,0.176,0.14,0,56.34,0.19,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 아이스(ICED) (L),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 아이스(ICED) (M),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 아이스(ICED) (R),100ml,3,,0.1,,,,0.02,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 핫(HOT),100ml,0,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 핫(HOT),100ml,0,,0.01,0.03,,0.02,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 핫(HOT) (L),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 핫(HOT) (M),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 핫(HOT) (R),100ml,2,,0.06,,,,0.01,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트티 아이스(ICED),100ml,1,,0.03,,,,0.07,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트티 핫(HOT),100ml,2,,0.06,,,,0.13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 핫(HOT),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 아이스(ICED),100ml,0,,0.01,0.01,,0.06,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 아이스(ICED) (R),100ml,2,,0.03,,,,0.02,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 핫(HOT),100ml,0,,0.01,0.01,,0.07,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 핫(HOT) (R),100ml,3,,0.03,,,,0.03,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
홍차_머스캣 블렌드티 아이스(ICED) (L),100ml,0,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
홍차_머스캣 블렌드티 핫(HOT) (L),100ml,0,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
홍차_머스캣,100ml,2,,0.36,,,,0.36,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일,100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 아이스(ICED),100ml,0,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 아이스(ICED),100ml,0,,0.01,0.02,,0,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 아이스(ICED) (R),100ml,3,,0.1,,,,0.01,,,,,,4,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 핫(HOT),100ml,0,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 핫(HOT),100ml,0,,0.01,0.03,,0,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 핫(HOT),100ml,0,,0,,,,0,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일 핫(HOT) (R),100ml,2,,0.06,,,,0,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일티 아이스(ICED),100ml,1,,0.03,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일티 아이스(ICED),100ml,0,,0,,,,0,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일티 핫(HOT),100ml,1,,0.06,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_쿨 허벌티 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_쿨 허벌티 핫(HOT),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_크림얼그레이티 아이스(ICED),100ml,1,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_크림얼그레이티 핫(HOT),100ml,1,,0,,,,0,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트,100ml,1,,0.08,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트,100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 아이스(ICED),100ml,0,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_페퍼민트 아이스(ICED),100ml,0,,0,0.02,,0.01,0,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
허브차_퓨어페퍼민트 핫(HOT),100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 핫(HOT),100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 아이스(ICED) (L),100ml,1,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 아이스(ICED) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 핫(HOT) (L),100ml,1,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
